post_id,title,category,score,num_comments,author,collected_at
47745284,Taking on CUDA with ROCm: 'One Step After Another',technology,256,190,mindcrime,2026-04-13 19:23:25
47737292,Is math big or small?,technology,78,28,robinhouston,2026-04-13 19:23:25
47758967,Man charged after allegedly throwing Molotov cocktail at Sam Altman's home,technology,9,1,GaryBluto,2026-04-13 19:23:25
47738094,JVM Options Explorer,technology,217,107,0x54MUR41,2026-04-13 19:23:25
47739313,Seven countries now generate nearly all their electricity from renewables (2024),technology,649,448,mpweiher,2026-04-13 19:23:25
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,500,285,a-ve,2026-04-13 19:23:25
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,402,355,walterbell,2026-04-13 19:23:25
47758802,The Importance of Benchmarks,technology,10,1,FigurativeVoid,2026-04-13 19:23:25
47739260,Pro Max 5x quota exhausted in 1.5 hours despite moderate usage,technology,726,642,cmaster11,2026-04-13 19:23:25
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,127,38,radeeyate,2026-04-13 19:23:25
47759079,Sam Altman Attack Suspect Had 'Anti-AI' Document with CEO Names,technology,16,1,JumpCrisscross,2026-04-13 19:23:25
47702887,Most people can't juggle one ball,technology,493,169,surprisetalk,2026-04-13 19:23:25
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,technology,5,0,0xchamin,2026-04-13 19:23:25
47750259,Point Cloud Allemansrätten,technology,37,6,ColinWright,2026-04-13 19:23:25
47755938,Warp,worldnews,5,1,Resayours,2026-04-13 19:23:25
47756231,New Mexico governor signs nation's first universal child care law,technology,20,9,eatonphil,2026-04-13 19:23:25
47741527,Ask HN: What Are You Working On? (April 2026),technology,319,1068,david927,2026-04-13 19:23:25
47758863,The human cost of 10x: How AI is physically breaking senior engineers,technology,58,51,forks,2026-04-13 19:23:25
47719490,I gave every train in New York an instrument,technology,384,73,joshuawolk,2026-04-13 19:23:25
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,174,116,JanSchu,2026-04-13 19:23:25
47757774,Kimi K2.6-code-preview is now available,technology,8,4,jrop,2026-04-13 19:23:25
47744132,Uncharted island soon to appear on nautical charts,technology,98,51,tannhaeuser,2026-04-13 19:23:25
