post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,19,1,joe_mamba,2026-04-13 19:23:25,0.05,False
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,technology,16,4,bookofjoe,2026-04-13 19:23:25,0.23529411764705882,False
47758616,"Why Your ""AI-First"" Strategy Is Probably Wrong",technology,18,7,shenli3514,2026-04-13 19:23:25,0.3684210526315789,False
47758028,Stanford report highlights growing disconnect between AI insiders and everyone,technology,215,291,ZeidJ,2026-04-13 19:23:25,1.3472222222222223,True
47746577,State of Homelab 2026,technology,101,90,swq115,2026-04-13 19:23:25,0.8823529411764706,False
47758651,Blurry iPhone Text Picture Problem: Is There an Easy Solution I'm Missing?,technology,16,1,andy99,2026-04-13 19:23:25,0.058823529411764705,False
47756448,Probing the Planck scale with quantum computation,technology,7,1,haxiomic,2026-04-13 19:23:25,0.125,False
47759541,Tourists to Australia to have social media vetted under Trumpian Coalition,technology,6,4,KnuthIsGod,2026-04-13 19:23:25,0.5714285714285714,False
47741701,DIY Soft Drinks,technology,704,218,_Microft,2026-04-13 19:23:25,0.30921985815602837,True
47757838,"Claude is getting worse, according to Claude",technology,19,7,lschueller,2026-04-13 19:23:25,0.35,False
47738827,Bring Back Idiomatic Design (2023),technology,673,368,phil294,2026-04-13 19:23:25,0.5459940652818991,True
47745284,Taking on CUDA with ROCm: 'One Step After Another',technology,256,190,mindcrime,2026-04-13 19:23:25,0.7392996108949417,True
47737292,Is math big or small?,technology,78,28,robinhouston,2026-04-13 19:23:25,0.35443037974683544,False
47758967,Man charged after allegedly throwing Molotov cocktail at Sam Altman's home,technology,9,1,GaryBluto,2026-04-13 19:23:25,0.1,False
47738094,JVM Options Explorer,technology,217,107,0x54MUR41,2026-04-13 19:23:25,0.4908256880733945,True
47739313,Seven countries now generate nearly all their electricity from renewables (2024),technology,649,448,mpweiher,2026-04-13 19:23:25,0.6892307692307692,True
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,500,285,a-ve,2026-04-13 19:23:25,0.5688622754491018,True
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,402,355,walterbell,2026-04-13 19:23:25,0.8808933002481389,True
47758802,The Importance of Benchmarks,technology,10,1,FigurativeVoid,2026-04-13 19:23:25,0.09090909090909091,False
47739260,Pro Max 5x quota exhausted in 1.5 hours despite moderate usage,technology,726,642,cmaster11,2026-04-13 19:23:25,0.8830811554332875,True
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,127,38,radeeyate,2026-04-13 19:23:25,0.296875,False
47759079,Sam Altman Attack Suspect Had 'Anti-AI' Document with CEO Names,technology,16,1,JumpCrisscross,2026-04-13 19:23:25,0.058823529411764705,False
47702887,Most people can't juggle one ball,technology,493,169,surprisetalk,2026-04-13 19:23:25,0.34210526315789475,True
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,technology,5,0,0xchamin,2026-04-13 19:23:25,0.0,False
47750259,Point Cloud Allemansrätten,technology,37,6,ColinWright,2026-04-13 19:23:25,0.15789473684210525,False
47755938,Warp,worldnews,5,1,Resayours,2026-04-13 19:23:25,0.16666666666666666,False
47756231,New Mexico governor signs nation's first universal child care law,technology,20,9,eatonphil,2026-04-13 19:23:25,0.42857142857142855,False
47741527,Ask HN: What Are You Working On? (April 2026),technology,319,1068,david927,2026-04-13 19:23:25,3.3375,True
47758863,The human cost of 10x: How AI is physically breaking senior engineers,technology,58,51,forks,2026-04-13 19:23:25,0.864406779661017,False
47719490,I gave every train in New York an instrument,technology,384,73,joshuawolk,2026-04-13 19:23:25,0.18961038961038962,True
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,174,116,JanSchu,2026-04-13 19:23:25,0.6628571428571428,False
47757774,Kimi K2.6-code-preview is now available,technology,8,4,jrop,2026-04-13 19:23:25,0.4444444444444444,False
47744132,Uncharted island soon to appear on nautical charts,technology,98,51,tannhaeuser,2026-04-13 19:23:25,0.5151515151515151,False
47737542,Optimization of 32-bit Unsigned Division by Constants on 64-bit Targets,technology,108,14,mpweiher,2026-04-13 19:23:25,0.12844036697247707,False
47757657,The Perils of an Over-Optimized Life,technology,13,0,jethronethro,2026-04-13 19:23:25,0.0,False
47755805,Evaluation of Claude Mythos Preview's cyber capabilities,technology,49,26,dgavey,2026-04-13 19:23:25,0.52,False
47737876,"Doom, Played over Curl",technology,119,30,creaktive,2026-04-13 19:23:25,0.25,False
47738864,Why AI Sucks at Front End,technology,112,158,tobr,2026-04-13 19:23:25,1.3982300884955752,False
47757509,Zig 0.16 Milestone Completed,technology,18,4,praveer13,2026-04-13 19:23:25,0.21052631578947367,False
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,359,300,em-bee,2026-04-13 19:23:25,0.8333333333333334,True
47743628,The peril of laziness lost,technology,461,142,gpm,2026-04-13 19:23:25,0.30735930735930733,True
47724352,Filing the corners off my MacBooks,entertainment,1391,667,normanvalentine,2026-04-13 19:23:25,0.4791666666666667,True
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,51,0,mooreds,2026-04-13 19:23:25,0.0,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,237,88,Rochus,2026-04-13 19:23:25,0.3697478991596639,True
47738343,The Physics of GPS,science,160,35,maouida,2026-04-13 19:23:25,0.21739130434782608,False
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,10,1,plonkus,2026-04-13 19:23:25,0.09090909090909091,False
47749295,Show HN: Equirect – a Rust VR video player,sports,11,1,greggman65,2026-04-13 19:23:25,0.08333333333333333,False
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,623,152,iceberger2001,2026-04-13 19:23:25,0.24358974358974358,True
